text,age_label
"Getting up at 5! a rare case for me. and that is also without any reason! Enjoying the morning after a long time. [SEP] amar chokhe thont gaale tumi lege achho amar angul haate kandhe tumi lege achho amar deoyal ghorir kantay tumi lege achho. [SEP] Main hoon naa. don. veer zaara. heyy baby. unreleased don2 [SEP] listening to the one song repeatedly for almost two hours. like it more I hear it. [SEP] enjoyed the journey back from home. thanks to ""deoyal ghorir kanta"" and one who sent me the song.",25-34
"Commemorating the day.... [SEP] ""Joy of giving love is more than recieving."" really? [SEP] There was a time I wished somebody could understand me. But now no one can see beyond my mask . [SEP] The call that never came... [SEP] When someone talks to you smiling (unnecessarily) use a warning message that you are about to fall in a deep trouble.",25-34
I want to break the wall. I want to be free. This is just killing me. [SEP] There was a time when I thought myself perfect and did so much wrong. Now I realize how wrong I was. I am sorry........... all of you.. [SEP] Now it is my turn... [SEP] Get ready for destruction... [SEP] And this is the over.... and the end is near...,25-34
good to hear that. [SEP] who got the lottery? [SEP] RT : RT : Happy Birthday Google. You have helped me look smarter than I am on several occasions. [SEP] Good to see smile back on the face of the dear ones. [SEP] Can someone plz do the coding for me... I am tired of doing the same thing again and again.,25-34
"It seems the excitement around 'like' has ceased now. I knew this a long time ago. [SEP] A not so great thought of a great person: ""After marriage life is going to be completely different adjusting... [SEP] Well, finally bid good bye to a very close person. Don't know if we will meet again or not. Hope we do. Will miss you. [SEP] Am online in Facebook chat... after ages... [SEP] In a great mood... code running in the back ground...",25-34
"All right... it's done.. so it is holidays...... [SEP] Returning home, tired, late. Worse: train is packed. Worst: clouds in the sky. The best combination for the worst journey back home. [SEP] Good morning. Got up early. A special day (not necessarily happy). Got some work to do as well. [SEP] Wore my favourite dress. After almost an year. Love everytime wearing dhoti. suits me as well. [SEP] So another day passes by. Sometimes love, frnds.. these seems so childish. Better to be single.",25-34
The largest festival around this part of the country begins... Sometimes it seems such waste of money. But seeing... [SEP] Went to local pandels today... saw 8+2 deities.... ;) liked d plus two. a long days ahead with plan finalised for... [SEP] Thank you guys... you made my day... Looking forward for more tomorrow... [SEP] The best day of the year undoubtably .... Ohhhh... I enjoyed it to the fullest. And Ganguly was the most wonderful... [SEP] A fresh and good morning... some experiences expected today... cant wait...,25-34
"Well..... I enjoyed the day at Zoug... I guess spelling is correct. Enjoying the colorful night. [SEP] Well that is the end of the day... enuf of pandels and deities... went to some of the most incredible ones. Damn... [SEP] Reached home... Lying in my bed... sleep is nt far away. [SEP] Good morning and suvo maha navami... Today I need a break... Too much hectic 2 days... [SEP] All right... sorry about an older post... I actually misspelled it. For the google buddies, now search with the...",25-34
A very sleepy morning and just hours left before I go out for a small trip... feeling to sleep all day... [SEP] Yeppi.............. Good old (really??) starting days are back [SEP] People think they are so good and perfect. If it was so they did not have so many problems in their lives.   P.S. I am not perfect. [SEP] Now I am waiting to see a cat fight... In FB. Got trapped in your own trap I guess. [SEP] Gold is so easily available this days... Who complained about the price rise?,25-34
"A thought just before I sign out, I am the dumbest person in the world, and I make the same mistakes over and over again. [SEP] You dont hv any idea wht I am going through [SEP] Moral of the story. If a girl post anything confusing or even a garbage in FB it will get enuf comments so dat you... [SEP] Waiting for some jokes??? Just view some FB posts... hillarious. [SEP] At Chakradharpur. Feeling tired after a long journey. Hope to be a pleasant day today.",25-34
A break in the busy life. Strike makes it possible. Loving it. also enjoying doing fb. [SEP] Finally free... got rid of it. [SEP] what u said is nt clear. [SEP] Best way to win for RCB. Allow the opposite team 200 runs. [SEP] Splendid Hirni... will post photos soon.,25-34
End of day and end of Journey what is full of some wonderful views. Cannot post now aas no computer is available.... [SEP] Had a very loud and provocative alteration with someone I really respect a lot. When shall I be able to control... [SEP] I just lost my cool... forget n forgive... [SEP] while in roaming... osn is the best way to communicate. [SEP] just too much heat taking its toll. feeling exhausted.... still felt good to be back in WB. seems so much at home.,25-34
"Back home. just enjoying doing nothing. [SEP] Monday blues... now I know it. Must recover quickly or hv to see red all day. [SEP] Just a simple thought, not necessarily correct, people access online social networks more when they feel alone and sad... [SEP] the whole thing is that ke bhaiya... I am also using it... [SEP] I am also using the OSN so much... what do you think the reason is?",25-34
"well... sort of... [SEP] ha ha... if I dont use OSN, hw ud I knw wht u say.. [SEP] How to do it??? It's a mystery... and I dont know the solution [SEP] All right... I don'r want to know. [SEP] All right. I don't want to know.",25-34
Not feeling well... A lot left to do as well. huh... I thought I was just ok with what I am now. [SEP] In the middle of too much controversy the original reason to create the page got lost. Hopefully we start it from tomorrow. [SEP] Good morning guys... feeling better today... Expect some bombardment today... [SEP] The best picture taken by me till date... [SEP] the question is who is the 5th one? tweet people plz ignore it.,25-34
"New facebook mantra: ""The enemy of my enemy is my friend"". [SEP] Okk... thought of the day... ""LOVE"" is not saying ""I Love You"" everyday. Rather it is to mean it... [SEP] All right GN folks.. take care... May be I need it most. [SEP] Hello and good morning... Heavy head feeling... and not a hangover (I swear I didnt drink). I need some pure rest, I guess. [SEP] OK.. start the day with a disputed statement. People say they are modern, but they allow others to be modern only...",25-34
"Sometimes I feel good to be busy, but at the end of the day I really feel very weak. [SEP] It feels good when you are surrounded by happy faces. None likes others to cry, I wish all my friends gets happy. [SEP] Good morning... The first question remains ""What is so god about this morning?"". [SEP] Feeling so tired mentally and somewhat physically as well that I am not in mood to get into any more trouble... Please leave me alone... [SEP] I need a govt job. So no headaches, no burdens, no workload; best part, long idle times...",25-34
Copy paste... cholchhe.. cholbe.. [SEP] feeling weak... n hv to keep going for another hour. plz.... help me. [SEP] Feeling better.. Though hv fever. Hv to be fit b4 tomorrow. [SEP] Don't hesitate to take the opportunities when you have some. You may not have again when you need them. [SEP] Listening to FM after ages (not literally). Good to hear some fav numbers...,25-34
"Missing a friend very much... somebody inform her... [SEP] Seeing a doctor... :( no other option. Have to go to ISI tomorrow at any cost. [SEP] Morning guys... not so good for me ofcrs. Good to see some frnds njoyin life finding touchy stories what they want in their lives as well. [SEP] interesting. A post here got completely unnoticed whereas when the same posted by a girl in her FB wall got 9... [SEP] hitting the road again. always liked the journey through national highway at night even it is on 79. chhote log, chhote batein.",25-34
Eventually made time to hear my fav singer's song with full concentration and getting the meaning. sheer... [SEP] Listening to my two fav singers of Bangla and English. Enjoyed the the journey apart from the pollution saying welcome to Kolkata. [SEP] Back to semi normal life. But surely need more rest than anything else. [SEP] Really weakened by the virus. cannot sit for long. [SEP] How to treat someone who calls you when you are fast asleep with 101 fvr? This is what I could do best.,25-34
"The fact that I have to sleep by myself tonight. <<<<<<< ???? [SEP] When people tell me I'm muggin all the time. No I'm not, that's just how my face looks expressionless. There's a difference. [SEP] Bitches be impressed by the most simplest shit. Like nigga pull up in a Audi for me & then I'm impressed. Flowers don't phase me, never did. [SEP] If you sub tweet someone that don't follow you or don't be on twitter. YOU'RE FUCKIN SCARY. ???????? [SEP] I been wearing my glasses for 3 days straight. I took them hoes off & couldn't see shit.",18-24
