text,age_label
Getting up at 5! a rare case for me. and that is also without any reason! Enjoying the morning after a long time.,25-34
amar chokhe thont gaale tumi lege achho amar angul haate kandhe tumi lege achho amar deoyal ghorir kantay tumi lege achho.,25-34
Main hoon naa. don. veer zaara. heyy baby. unreleased don2,25-34
listening to the one song repeatedly for almost two hours. like it more I hear it.,25-34
"enjoyed the journey back from home. thanks to ""deoyal ghorir kanta"" and one who sent me the song.",25-34
Commemorating the day....,25-34
"""Joy of giving love is more than recieving."" really?",25-34
There was a time I wished somebody could understand me. But now no one can see beyond my mask .,25-34
The call that never came...,25-34
When someone talks to you smiling (unnecessarily) use a warning message that you are about to fall in a deep trouble.,25-34
I want to break the wall. I want to be free. This is just killing me.,25-34
There was a time when I thought myself perfect and did so much wrong. Now I realize how wrong I was. I am sorry........... all of you..,25-34
Now it is my turn...,25-34
Get ready for destruction...,25-34
And this is the over.... and the end is near...,25-34
good to hear that.,25-34
who got the lottery?,25-34
RT : RT : Happy Birthday Google. You have helped me look smarter than I am on several occasions.,25-34
Good to see smile back on the face of the dear ones.,25-34
Can someone plz do the coding for me... I am tired of doing the same thing again and again.,25-34
It seems the excitement around 'like' has ceased now. I knew this a long time ago.,25-34
"A not so great thought of a great person: ""After marriage life is going to be completely different adjusting...",25-34
"Well, finally bid good bye to a very close person. Don't know if we will meet again or not. Hope we do. Will miss you.",25-34
Am online in Facebook chat... after ages...,25-34
In a great mood... code running in the back ground...,25-34
All right... it's done.. so it is holidays......,25-34
"Returning home, tired, late. Worse: train is packed. Worst: clouds in the sky. The best combination for the worst journey back home.",25-34
Good morning. Got up early. A special day (not necessarily happy). Got some work to do as well.,25-34
Wore my favourite dress. After almost an year. Love everytime wearing dhoti. suits me as well.,25-34
"So another day passes by. Sometimes love, frnds.. these seems so childish. Better to be single.",25-34
The largest festival around this part of the country begins... Sometimes it seems such waste of money. But seeing...,25-34
Went to local pandels today... saw 8+2 deities.... ;) liked d plus two. a long days ahead with plan finalised for...,25-34
